case_id,human_judgment,evidence_id,provenance_status,evidence_configuration,cross_case_match,judgment_consistency,human_added_information,added_information_type,case_specific_or_reusable,reusable_signal_candidate,free_text_required,semantic_label_required,rule_authoring_required,evidence_distillation_level,notes
is11_efficientnet_p2_158_372,UNCERTAIN,text_id:is11_efficientnet_p2_158_372|drawing:PRIMITIVES_ONLY,PROVENANCE_PARTIAL (drawing extent missing),case_type=Type_A_negative;FIG=YES;VR=none;XO=NO;EXT=NO;state=PRIMITIVES_NO_EXTENT,YES (group=Type_A_negative+FIG=YES+none+XO=NO; n=3),CONSISTENT (all=uncertain),E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=is11_efficientnet; case_type=Type_A_negative; FIG=YES; VR=none; XO=NO; group_n=3
is11_efficientnet_p6_307_629,YES,text_id:is11_efficientnet_p6_307_629|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_efficientnet; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
arxiv_2402.18619_p18_134_293,YES,text_id:arxiv_2402.18619_p18_134_293|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=arxiv_2402.18619; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_med_001_p15_498_107,UNCERTAIN,text_id:is11_med_001_p15_498_107|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=Type_A_negative;FIG=YES;VR=none;XO=NO;EXT=NO;state=EXTENT_EXISTS,YES (group=Type_A_negative+FIG=YES+none+XO=NO; n=3),"INCONSISTENT ({'uncertain': 2, 'yes': 1})",E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=is11_med_001; case_type=Type_A_negative; FIG=YES; VR=none; XO=NO; group_n=3
arxiv_2402.18619_p28_107_234,YES,text_id:arxiv_2402.18619_p28_107_234|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=arxiv_2402.18619; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_efficientnet_p6_79_415,UNCERTAIN,text_id:is11_efficientnet_p6_79_415|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=Type_B_negative;FIG=NO;VR=above;XO=NO;EXT=YES;state=EXTENT_EXISTS,NO (unique config),N/A (single case),E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=is11_efficientnet; case_type=Type_B_negative; FIG=NO; VR=above; XO=NO; group_n=1
is11_efficientnet_p1_307_364,YES,text_id:is11_efficientnet_p1_307_364|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_efficientnet; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
arxiv_2402.18619_p10_183_252,YES,text_id:arxiv_2402.18619_p10_183_252|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=above;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+above+XO=YES; n=5),"INCONSISTENT ({'uncertain': 2, 'yes': 2, 'no': 1})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=arxiv_2402.18619; case_type=ambiguous_fragment; FIG=YES; VR=above; XO=YES; group_n=5
is11_med_001_p15_85_574,YES,text_id:is11_med_001_p15_85_574|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_med_001; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
arxiv_2402.18619_p19_72_733,YES,text_id:arxiv_2402.18619_p19_72_733|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=arxiv_2402.18619; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_efficientnet_p4_188_461,NO,text_id:is11_efficientnet_p4_188_461|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=below;XO=NO;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+below+XO=NO; n=4),"INCONSISTENT ({'yes': 2, 'uncertain': 1, 'no': 1})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=is11_efficientnet; case_type=ambiguous_fragment; FIG=YES; VR=below; XO=NO; group_n=4
arxiv_2402.18619_p28_152_95,YES,text_id:arxiv_2402.18619_p28_152_95|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=subfigure_label;FIG=YES;VR=inside;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=subfigure_label+FIG=YES+inside+XO=YES; n=4),CONSISTENT (all=yes),C (found new observation in document),NEW_OBSERVATION,Level_3_REPEATED_EVIDENCE_INSTANCE,CONDITIONAL,FALSE,FALSE,FALSE,D2,doc=arxiv_2402.18619; case_type=subfigure_label; FIG=YES; VR=inside; XO=YES; group_n=4
is11_med_001_p8_85_211,YES,text_id:is11_med_001_p8_85_211|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_med_001; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_med_001_p23_85_395,YES,text_id:is11_med_001_p23_85_395|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_med_001; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_resnet_p4_50_633,YES,text_id:is11_resnet_p4_50_633|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_resnet; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
arxiv_2402.18619_p17_72_184,YES,text_id:arxiv_2402.18619_p17_72_184|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=arxiv_2402.18619; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_resnet_p7_321_545,UNCERTAIN,text_id:is11_resnet_p7_321_545|drawing:PRIMITIVES_ONLY,PROVENANCE_PARTIAL (drawing extent missing),case_type=Type_A_negative;FIG=YES;VR=none;XO=NO;EXT=NO;state=PRIMITIVES_NO_EXTENT,YES (group=Type_A_negative+FIG=YES+none+XO=NO; n=3),CONSISTENT (all=uncertain),E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=is11_resnet; case_type=Type_A_negative; FIG=YES; VR=none; XO=NO; group_n=3
arxiv_2402.18619_p11_72_651,UNCERTAIN,text_id:arxiv_2402.18619_p11_72_651|drawing:NONE,PROVENANCE_PARTIAL (no drawing evidence),case_type=Type_A_negative;FIG=YES;VR=none;XO=NO;EXT=NO;state=NO_VISUAL_EVIDENCE,YES (group=Type_A_negative+FIG=YES+none+XO=NO; n=2),CONSISTENT (all=uncertain),E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=arxiv_2402.18619; case_type=Type_A_negative; FIG=YES; VR=none; XO=NO; group_n=2
is11_resnet_p4_320_146,YES,text_id:is11_resnet_p4_320_146|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=above;XO=NO;EXT=YES;state=EXTENT_EXISTS,NO (unique config),N/A (single case),A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (single instance),FALSE,FALSE,FALSE,D1,doc=is11_resnet; case_type=ambiguous_fragment; FIG=YES; VR=above; XO=NO; group_n=1
is11_resnet_p5_359_225,NO,text_id:is11_resnet_p5_359_225|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=above;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+above+XO=YES; n=5),"INCONSISTENT ({'uncertain': 2, 'yes': 2, 'no': 1})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=is11_resnet; case_type=ambiguous_fragment; FIG=YES; VR=above; XO=YES; group_n=5
is11_resnet_p1_435_316,YES,text_id:is11_resnet_p1_435_316|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=Type_B_negative;FIG=NO;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=Type_B_negative+FIG=NO+below+XO=YES; n=3),CONSISTENT (all=yes),A (confirmed existing evidence),EXISTING_EVIDENCE,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_resnet; case_type=Type_B_negative; FIG=NO; VR=below; XO=YES; group_n=3
arxiv_2402.18619_p16_172_568,YES,text_id:arxiv_2402.18619_p16_172_568|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=arxiv_2402.18619; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
arxiv_2402.18619_p15_74_275,YES,text_id:arxiv_2402.18619_p15_74_275|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=arxiv_2402.18619; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
arxiv_2402.18619_p10_72_729,YES,text_id:arxiv_2402.18619_p10_72_729|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=Type_A_negative;FIG=YES;VR=none;XO=NO;EXT=NO;state=EXTENT_EXISTS,YES (group=Type_A_negative+FIG=YES+none+XO=NO; n=3),"INCONSISTENT ({'uncertain': 2, 'yes': 1})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=arxiv_2402.18619; case_type=Type_A_negative; FIG=YES; VR=none; XO=NO; group_n=3
arxiv_2402.18619_p19_72_248,YES,text_id:arxiv_2402.18619_p19_72_248|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=YES; n=29),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=arxiv_2402.18619; case_type=caption_like; FIG=YES; VR=below; XO=YES; group_n=29
is11_med_001_p14_85_386,YES,text_id:is11_med_001_p14_85_386|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=NO;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=NO; n=5),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_med_001; case_type=caption_like; FIG=YES; VR=below; XO=NO; group_n=5
is11_resnet_p1_412_338,YES,text_id:is11_resnet_p1_412_338|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=below;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+below+XO=YES; n=8),"INCONSISTENT ({'yes': 6, 'no': 2})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=is11_resnet; case_type=ambiguous_fragment; FIG=YES; VR=below; XO=YES; group_n=8
is11_med_001_p15_244_342,UNCERTAIN,text_id:is11_med_001_p15_244_342|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=Type_B_negative;FIG=NO;VR=above;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=Type_B_negative+FIG=NO+above+XO=YES; n=2),CONSISTENT (all=uncertain),E (judgment cannot bind to evidence — boundary),SEMANTIC_BOUNDARY,Level_1_CASE_SPECIFIC,FALSE,FALSE,FALSE,FALSE,D0,doc=is11_med_001; case_type=Type_B_negative; FIG=NO; VR=above; XO=YES; group_n=2
arxiv_2402.18619_p19_83_745,YES,text_id:arxiv_2402.18619_p19_83_745|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=below;XO=NO;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+below+XO=NO; n=4),"INCONSISTENT ({'yes': 2, 'uncertain': 1, 'no': 1})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=arxiv_2402.18619; case_type=ambiguous_fragment; FIG=YES; VR=below; XO=NO; group_n=4
is11_med_001_p24_85_572,YES,text_id:is11_med_001_p24_85_572|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=below;XO=NO;EXT=YES;state=EXTENT_EXISTS,YES (group=caption_like+FIG=YES+below+XO=NO; n=5),CONSISTENT (all=yes),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_4_REUSABLE_SIGNAL_CANDIDATE,TRUE (CANDIDATE),FALSE,FALSE,FALSE,D3,doc=is11_med_001; case_type=caption_like; FIG=YES; VR=below; XO=NO; group_n=5
is11_cs_001_p1_108_651,YES,text_id:is11_cs_001_p1_108_651|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=caption_like;FIG=YES;VR=inside;XO=YES;EXT=YES;state=EXTENT_EXISTS,NO (unique config),N/A (single case),B (added semantic validation to existing evidence),SEMANTIC_VALIDATION,Level_2_EVIDENCE_LINKED,FALSE (single instance),FALSE,FALSE,FALSE,D1,doc=is11_cs_001; case_type=caption_like; FIG=YES; VR=inside; XO=YES; group_n=1
is11_med_001_p15_261_316,YES,text_id:is11_med_001_p15_261_316|drawing_extent:SET,PROVENANCE_COMPLETE,case_type=ambiguous_fragment;FIG=YES;VR=above;XO=YES;EXT=YES;state=EXTENT_EXISTS,YES (group=ambiguous_fragment+FIG=YES+above+XO=YES; n=5),"INCONSISTENT ({'uncertain': 2, 'yes': 2, 'no': 1})",A (confirmed existing evidence),EXISTING_EVIDENCE,Level_2_EVIDENCE_LINKED,FALSE (inconsistent group),FALSE,FALSE,FALSE,D1,doc=is11_med_001; case_type=ambiguous_fragment; FIG=YES; VR=above; XO=YES; group_n=5
